Year,Identity of mother,Habitat code,Habitat,Level,Height,Shade,Light,DW,DF,Disturbance,Area,Total,Max Score,Litter size,Litter size category,"structure (area, height, level)",resources (distance from food and water),"quality (shade, light)",disturbances
4,M71,SU,Semi,1,1,3,3,2,2,1,2,15,24,6,large,4,4,6,1
4,M72,SU,Semi,3,1,3,3,1,1,3,1,16,24,5,large,5,2,6,3
4,M73,SU,Semi,1,1,1,1,3,2,3,1,13,24,6,large,3,5,2,3
4,M74,SU,Semi,1,1,1,1,3,1,3,1,12,24,3,small,3,4,2,3
4,M75,UR,Urban,1,2,3,3,2,1,3,3,18,24,5,large,6,3,6,3
4,M76,UR,Urban,1,3,3,2,3,1,1,3,17,24,6,large,7,4,5,1
4,M77,UR,Urban,1,3,3,3,1,3,3,3,20,24,2,small,7,4,6,3
4,M78,UR,Urban,1,1,3,1,2,1,3,1,13,24,3,small,3,3,4,3
4,M79,UR,Urban,1,1,3,3,2,1,1,3,15,24,2,small,5,3,6,1
4,M80,UR,Urban,1,2,3,2,2,1,3,3,17,24,4,small,6,3,5,3
5,M81,UR,Urban,1,3,3,1,3,3,2,3,19,24,5,large,7,6,4,2
5,M82,UR,Urban,1,1,3,1,3,3,3,1,16,24,3,small,3,6,4,3
5,M83,UR,Urban,2,3,2,1,3,3,2,3,19,24,3,small,8,6,3,2
5,M84,UR,Urban,1,3,3,1,3,3,3,3,20,24,11,large,7,6,4,3
5,M85,UR,Urban,2,2,3,2,2,2,3,2,18,24,3,small,6,4,5,3
5,M86,UR,Urban,2,1,3,2,3,3,1,1,16,24,2,small,4,6,5,1
5,M87,UR,Urban,2,1,3,3,2,2,1,1,15,24,4,small,4,4,6,1
5,M88,UR,Urban,1,3,1,1,1,2,2,2,13,24,6,large,6,3,2,2
5,M89,UR,Urban,1,3,2,1,1,2,2,3,15,24,4,small,7,3,3,2
5,M90,RU,Rural,1,1,2,1,2,2,3,1,13,24,6,large,3,4,3,3
5,M91,RU,Rural,1,3,3,1,1,2,3,3,17,24,6,large,7,3,4,3
5,M92,UR,Urban,1,1,1,1,1,2,1,1,9,24,2,small,3,3,2,1
5,M93,UR,Urban,2,3,3,1,2,2,3,3,19,24,3,small,8,4,4,3
5,M94,UR,Urban,2,3,3,1,1,1,3,2,16,24,6,large,7,2,4,3
5,M95,UR,Urban,1,2,3,1,1,1,3,1,13,24,3,small,4,2,4,3
5,M96,UR,Urban,2,2,3,1,2,2,3,3,18,24,8,large,7,4,4,3
5,M97,UR,Urban,2,3,3,2,2,2,2,3,19,24,3,small,8,4,5,2
5,M98,SU,Semi,1,1,2,1,2,2,2,1,12,24,4,small,3,4,3,2
5,M99,UR,Urban,1,1,1,1,2,2,2,1,11,24,5,large,3,4,2,2
5,M100,SU,Semi,1,1,1,1,3,3,2,1,13,24,4,small,3,6,2,2
5,M101,RU,Rural,1,3,3,1,2,2,3,3,18,24,5,large,7,4,4,3
5,M102,UR,Urban,2,3,3,1,2,2,3,1,17,24,14,large,6,4,4,3
5,M103,UR,Urban,1,1,2,1,2,2,2,1,12,24,4,small,3,4,3,2
