"","Order","Family","Genus","Species","AdultBodyMass_g","BMR_mLO2hr","GestationLen_d","LitterSize","LittersPerYear","MaxLongevity_m","PopulationDensity_nkm2","SexualMaturityAge_d","TrophicLevel","GR_Area_km2","HumanPopDen_nkm2","PrecipMean_mm","TempMean_degC"
"673","Chiroptera","Vespertilionidae","Chalinolobus","Chalinolobus nigrogriseus",8.8,NA,NA,NA,NA,NA,NA,NA,NA,1435584,3.97,76.24,248.59
"674","Chiroptera","Vespertilionidae","Chalinolobus","Chalinolobus picatus",NA,NA,NA,2,NA,NA,NA,NA,NA,1033460,0.08,26.49,209.29
"675","Chiroptera","Vespertilionidae","Chalinolobus","Chalinolobus poensis",6.91,NA,NA,NA,NA,NA,NA,NA,NA,1787469,69.26,157.62,251.73
"676","Chiroptera","Vespertilionidae","Chalinolobus","Chalinolobus superbus",NA,NA,NA,NA,NA,NA,NA,NA,NA,294979,83.41,120.11,255.52
"677","Chiroptera","Vespertilionidae","Chalinolobus","Chalinolobus tuberculatus",NA,NA,NA,0.98,NA,NA,NA,NA,3,174975,20.95,90.49,94.58
"678","Chiroptera","Vespertilionidae","Chalinolobus","Chalinolobus variegatus",11.2,NA,NA,1.12,NA,NA,NA,NA,3,9810939,36.23,106.66,236.76
"679","Primates","Cheirogaleidae","Cheirogaleus","Cheirogaleus major",448,NA,69.99,2.04,NA,180,68,364.99,2,180663,34.35,143.99,206.62
"680","Primates","Cheirogaleidae","Cheirogaleus","Cheirogaleus medius",197,195,61.79,2.04,NA,231.6,225,370.21,2,122849,11.99,85.08,240.48
"681","Chiroptera","Molossidae","Cheiromeles","Cheiromeles torquatus",169,NA,NA,NA,NA,NA,NA,NA,3,1501081,149.05,229.81,245.32
"682","Rodentia","Muridae","Chelemys","Chelemys macronyx",73.3,NA,NA,4.37,NA,NA,NA,NA,2,199621,27.32,74.44,54.62
"683","Rodentia","Muridae","Chelemys","Chelemys megalonyx",50.8,NA,NA,NA,NA,NA,NA,NA,NA,119540,89.14,54.92,81.14
"684","Rodentia","Muridae","Chibchanomys","Chibchanomys trichotis",50,NA,NA,NA,NA,NA,NA,NA,NA,222554,43.77,134.21,204.49
"685","Rodentia","Muridae","Chilomys","Chilomys instans",19,NA,NA,NA,NA,NA,NA,NA,NA,84512,69.93,106.61,197.6
"686","Insectivora","Soricidae","Chimarrogale","Chimarrogale hantu",55,NA,NA,NA,NA,NA,NA,NA,3,24502,89.28,203.26,246.28
"687","Insectivora","Soricidae","Chimarrogale","Chimarrogale himalayica",32,NA,NA,NA,3,NA,NA,NA,3,2340590,160.16,118.57,123.48
"688","Insectivora","Soricidae","Chimarrogale","Chimarrogale phaeura",NA,NA,NA,NA,NA,NA,NA,NA,3,10155,36.2,249.23,244.88
"689","Insectivora","Soricidae","Chimarrogale","Chimarrogale platycephala",35.5,NA,NA,NA,NA,NA,NA,NA,3,144299,437.95,145.89,113.15
"690","Insectivora","Soricidae","Chimarrogale","Chimarrogale styani",NA,NA,NA,NA,NA,NA,NA,NA,3,670833,70.98,127.18,28.42
"691","Insectivora","Soricidae","Chimarrogale","Chimarrogale sumatrana",NA,NA,NA,NA,NA,NA,NA,NA,3,16144,88,308.06,235.85
"692","Rodentia","Chinchillidae","Chinchilla","Chinchilla brevicaudata",500,NA,110.99,2.49,2.5,120,NA,215.45,1,492097,11.54,56.04,20.05
"693","Rodentia","Chinchillidae","Chinchilla","Chinchilla lanigera",480,282.1,112.77,1.86,NA,135.6,944,194.32,1,36255,18.86,11.48,72.17
"694","Rodentia","Muridae","Chinchillula","Chinchillula sahamae",170,NA,NA,NA,NA,NA,NA,NA,2,253694,17.21,90.56,45.76
"695","Rodentia","Muridae","Chionomys","Chionomys gud",NA,NA,NA,5.83,2.5,NA,NA,NA,NA,110928,59.76,62.87,29.55
"696","Rodentia","Muridae","Chionomys","Chionomys nivalis",54,NA,NA,NA,2,NA,NA,NA,NA,777916,87.32,63.35,70.57
"697","Rodentia","Muridae","Chionomys","Chionomys roberti",NA,NA,NA,1.94,NA,NA,NA,NA,NA,90791,65.19,77.97,24.75
"698","Chiroptera","Phyllostomidae","Chiroderma","Chiroderma doriae",19.9,31.24,106.45,1,NA,NA,NA,NA,1,499911,142.11,125.32,200.37
"699","Chiroptera","Phyllostomidae","Chiroderma","Chiroderma improvisum",35.3,NA,NA,NA,NA,NA,NA,NA,1,1580,221.77,NA,NA
"700","Chiroptera","Phyllostomidae","Chiroderma","Chiroderma salvini",26.2,NA,NA,0.98,NA,NA,NA,NA,1,3181263,48.18,137.6,208.68
"701","Chiroptera","Phyllostomidae","Chiroderma","Chiroderma trinitatum",13.9,NA,NA,0.98,NA,NA,NA,NA,1,9415792,11.91,164.23,244.15
"702","Chiroptera","Phyllostomidae","Chiroderma","Chiroderma villosum",23.6,NA,121.66,0.98,NA,NA,NA,NA,1,10366490,16.68,159.13,239.17
"703","Rodentia","Muridae","Chiromyscus","Chiromyscus chiropus",NA,NA,NA,NA,NA,NA,NA,NA,NA,460796,118.88,137.31,211.88
"704","Chiroptera","Pteropodidae","Chironax","Chironax melanocephalus",17.7,NA,NA,0.98,NA,NA,NA,NA,1,427413,153.43,232.64,245.24
"705","Didelphimorphia","Didelphidae","Chironectes","Chironectes minimus",979,548.68,NA,3.24,NA,36,NA,305.2,2,3719497,42.52,161.92,230.68
"706","Rodentia","Muridae","Chiropodomys","Chiropodomys calamianensis",28.9,NA,NA,NA,NA,NA,NA,NA,NA,12832,43.33,224,249.78
"707","Rodentia","Muridae","Chiropodomys","Chiropodomys gliroides",23.7,NA,20.15,2.2,NA,NA,NA,NA,NA,847919,233.32,177.02,210.3
"708","Rodentia","Muridae","Chiropodomys","Chiropodomys karlkoopmani",NA,NA,NA,NA,NA,NA,NA,NA,NA,4520,48.71,340,259
"709","Rodentia","Muridae","Chiropodomys","Chiropodomys major",28.9,NA,NA,NA,NA,NA,NA,NA,NA,55076,19.07,288.32,235.26
"710","Rodentia","Muridae","Chiropodomys","Chiropodomys muroides",28.9,NA,NA,NA,NA,NA,NA,NA,NA,1114,87.18,241.06,221.6
"711","Rodentia","Muridae","Chiropodomys","Chiropodomys pusillus",28.9,NA,NA,NA,NA,NA,NA,NA,NA,59723,13.7,266.76,238.51
"712","Primates","Cebidae","Chiropotes","Chiropotes albinasus",2800,NA,157.77,1.02,NA,204,6.62,NA,1,660974,1.95,175.97,249.2
"713","Primates","Cebidae","Chiropotes","Chiropotes satanas",2970,NA,157.77,1,NA,216,15.6,NA,1,1405928,6.52,156.24,249.67
"714","Rodentia","Muridae","Chiruromys","Chiruromys forbesi",105,NA,NA,2.8,NA,NA,NA,NA,NA,49212,11.27,197.79,214.28
"715","Rodentia","Muridae","Chiruromys","Chiruromys lamia",47.2,NA,NA,2.15,NA,NA,NA,NA,NA,33090,11.41,180.67,216.36
"716","Rodentia","Muridae","Chiruromys","Chiruromys vates",45.4,NA,NA,1.03,NA,NA,NA,NA,NA,51126,9.68,334.35,202.37
"717","Xenarthra","Dasypodidae","Chlamyphorus","Chlamyphorus retusus",130,NA,NA,NA,NA,144,NA,NA,2,1081454,4.33,87.68,228.45
"718","Xenarthra","Dasypodidae","Chlamyphorus","Chlamyphorus truncatus",88.4,NA,NA,NA,NA,NA,NA,NA,2,404571,6.37,33.98,136.29
"719","Primates","Cercopithecidae","Chlorocebus","Chlorocebus aethiops",4030,NA,163.19,1,NA,379.2,47.6,1465.47,1,14112846,36.75,85.44,235.35
"720","Insectivora","Chrysochloridae","Chlorotalpa","Chlorotalpa arendsi",52.4,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"721","Insectivora","Chrysochloridae","Chlorotalpa","Chlorotalpa duthieae",NA,NA,NA,2,NA,NA,NA,NA,3,20651,75.12,53.64,146.18
"722","Insectivora","Chrysochloridae","Chlorotalpa","Chlorotalpa leucorhina",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"723","Insectivora","Chrysochloridae","Chlorotalpa","Chlorotalpa sclateri",40.2,NA,NA,2,NA,NA,NA,NA,3,352294,15.7,38.02,156.24
"724","Insectivora","Chrysochloridae","Chlorotalpa","Chlorotalpa tytonis",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"725","Chiroptera","Phyllostomidae","Choeroniscus","Choeroniscus godmani",7.84,19.08,NA,0.98,NA,NA,NA,NA,2,2763301,42.76,148.03,238.66
"726","Chiroptera","Phyllostomidae","Choeroniscus","Choeroniscus intermedius",6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"727","Chiroptera","Phyllostomidae","Choeroniscus","Choeroniscus minor",8.72,NA,NA,0.98,NA,NA,NA,NA,2,6447650,9.15,173.43,241.56
"728","Chiroptera","Phyllostomidae","Choeroniscus","Choeroniscus periosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,250151,53.09,213.36,216.97
"729","Chiroptera","Phyllostomidae","Choeronycteris","Choeronycteris mexicana",17.1,NA,NA,1,NA,NA,NA,NA,2,1786275,53.53,52.95,189.59
"730","Xenarthra","Megalonychidae","Choloepus","Choloepus didactylus",6570,NA,270.31,0.92,NA,333.6,53.8,1095,2,3900959,4.88,184.67,252.37
"731","Xenarthra","Megalonychidae","Choloepus","Choloepus hoffmanni",5510,697.74,258.54,0.92,NA,385.2,120,1277.49,1,997079,40.18,192.46,237.35
"732","Rodentia","Muridae","Chroeomys","Chroeomys andinus",18,NA,NA,NA,NA,NA,NA,NA,NA,722552,15.79,51.98,14.3
"733","Rodentia","Muridae","Chroeomys","Chroeomys jelskii",34.5,NA,NA,NA,NA,NA,NA,NA,2,506395,14.37,76.81,68.22
"734","Carnivora","Viverridae","Chrotogale","Chrotogale owstoni",3270,NA,NA,NA,NA,NA,NA,NA,2,27880,297.26,136.85,183.06
"735","Rodentia","Muridae","Chrotomys","Chrotomys gonzalesi",140,NA,NA,NA,NA,NA,NA,NA,3,323,323,331,252
"736","Rodentia","Muridae","Chrotomys","Chrotomys mindorensis",152,NA,NA,NA,NA,NA,NA,NA,NA,115585,283.29,233.49,240.53
"737","Rodentia","Muridae","Chrotomys","Chrotomys whiteheadi",152,NA,NA,NA,NA,NA,NA,NA,NA,697,350.39,312.99,232.04
"738","Chiroptera","Phyllostomidae","Chrotopterus","Chrotopterus auritus",77.9,101.86,NA,1,1,NA,NA,NA,2,9155054,26.42,145.4,233.69
"739","Insectivora","Chrysochloridae","Chrysochloris","Chrysochloris asiatica",40.9,40.8,NA,3.5,NA,NA,1000,NA,3,145686,41.55,19.96,161.09
"740","Insectivora","Chrysochloridae","Chrysochloris","Chrysochloris stuhlmanni",57.4,NA,NA,0.99,NA,NA,1000,NA,3,NA,NA,NA,NA
"741","Insectivora","Chrysochloridae","Chrysochloris","Chrysochloris visagiei",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"742","Carnivora","Canidae","Chrysocyon","Chrysocyon brachyurus",23300,NA,63.48,2.22,NA,180,NA,364.99,2,5038801,23.01,110.24,223.49
"743","Insectivora","Chrysochloridae","Chrysospalax","Chrysospalax trevelyani",445,NA,114.99,2,1,48,1000,NA,3,43844,73.38,63.73,156.04
"744","Insectivora","Chrysochloridae","Chrysospalax","Chrysospalax villosus",116,NA,NA,1.98,NA,NA,NA,NA,3,NA,NA,NA,NA
"745","Carnivora","Viverridae","Civettictis","Civettictis civetta",12100,NA,68.49,2.39,NA,336,NA,266.81,2,14207679,36.77,101.3,237.14
"746","Rodentia","Muridae","Clethrionomys","Clethrionomys californicus",18.3,61.12,18,3.11,3.85,NA,440,NA,NA,200498,27.47,71.63,87.01
"747","Rodentia","Muridae","Conilurus","Conilurus penicillatus",175,162.67,36,2,NA,NA,NA,NA,2,278072,1.29,89.82,271.04
"748","Artiodactyla","Bovidae","Connochaetes","Connochaetes gnou",154000,NA,256.76,1,NA,240,33.7,817.07,1,132201,21.86,47.98,154.29
"749","Artiodactyla","Bovidae","Connochaetes","Connochaetes taurinus",196000,26460,251.49,1,NA,258,7.77,730,1,3201114,19.12,61.61,211.04
"750","Chiroptera","Emballonuridae","Cormura","Cormura brevirostris",9.22,NA,NA,NA,NA,NA,NA,NA,3,6457181,15.82,179.4,249.38
"751","Rodentia","Muridae","Coryphomys","Coryphomys buehleri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"752","Chiroptera","Craseonycteridae","Craseonycteris","Craseonycteris thonglongyai",1.96,NA,NA,1,1,NA,NA,NA,3,895,23.68,375.32,240.33
"753","Rodentia","Muridae","Crateromys","Crateromys australis",NA,NA,NA,NA,NA,NA,NA,NA,NA,832,144.02,NA,NA
"754","Rodentia","Muridae","Crateromys","Crateromys paulus",NA,NA,NA,NA,NA,NA,NA,NA,NA,75,143,183,258
"755","Rodentia","Muridae","Crateromys","Crateromys schadenbergi",NA,NA,NA,NA,NA,NA,NA,NA,NA,36658,126.47,226.03,226.83
"756","Rodentia","Muridae","Cremnomys","Cremnomys blanfordi",NA,NA,NA,2.49,NA,NA,NA,NA,NA,971800,283.78,100.43,257.58
"757","Rodentia","Muridae","Cremnomys","Cremnomys cutchicus",NA,NA,NA,5.24,NA,NA,NA,NA,NA,246119,282.11,60.28,257.7
"758","Rodentia","Muridae","Cremnomys","Cremnomys elvira",NA,NA,NA,NA,NA,NA,NA,NA,NA,320,388,81,273
"759","Rodentia","Muridae","Cricetomys","Cricetomys emini",1280,NA,NA,0.97,NA,NA,NA,NA,NA,2945905,51.76,148.27,242.8
"760","Rodentia","Muridae","Cricetomys","Cricetomys gambianus",1270,1022.38,31.49,3.11,2,NA,NA,155.18,NA,8320330,37.92,100.1,242.65
"761","Rodentia","Muridae","Cricetulus","Cricetulus alticola",NA,NA,NA,NA,NA,NA,NA,NA,NA,153013,24.41,52.17,-11.07
"762","Rodentia","Muridae","Cricetulus","Cricetulus barabensis",NA,NA,NA,6.06,NA,NA,NA,NA,NA,3474276,129.33,34.34,11.91
"763","Rodentia","Muridae","Cricetulus","Cricetulus kamensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,2957,11.54,10.16,41.12
"764","Rodentia","Muridae","Cricetulus","Cricetulus longicaudatus",NA,NA,NA,5.71,NA,NA,NA,NA,NA,2110470,61.13,31.22,6.6
"765","Rodentia","Muridae","Cricetulus","Cricetulus migratorius",30.6,NA,12,5.2,2,NA,225,NA,NA,10345013,33.59,24.91,63.96
"766","Rodentia","Muridae","Cricetulus","Cricetulus sokolovi",NA,NA,NA,NA,NA,NA,NA,NA,NA,450812,5.46,23.56,14.25
"767","Rodentia","Muridae","Cricetus","Cricetus cricetus",429,231.68,19.49,7.14,2,48,NA,74.99,NA,6712428,45.61,37.91,35.6
"768","Insectivora","Soricidae","Crocidura","Crocidura aleksandrisi",NA,NA,NA,NA,NA,NA,NA,NA,NA,9752,4.2,1.21,205.56
"769","Insectivora","Soricidae","Crocidura","Crocidura allex",NA,NA,NA,3.96,NA,NA,NA,NA,NA,14179,87.36,66.32,180.98
"770","Insectivora","Soricidae","Crocidura","Crocidura andamanensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,4527,50.24,215,268
"771","Insectivora","Soricidae","Crocidura","Crocidura ansellorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,39928,8.43,104.85,206.58
"772","Insectivora","Soricidae","Crocidura","Crocidura arabica",NA,NA,NA,NA,NA,NA,NA,NA,NA,97952,33.85,5.22,235.22
"773","Insectivora","Soricidae","Crocidura","Crocidura armenica",NA,NA,NA,NA,NA,NA,NA,NA,NA,85332,85.28,39.05,68.89
"774","Insectivora","Soricidae","Crocidura","Crocidura attenuata",NA,NA,NA,0.99,NA,NA,NA,NA,NA,3622182,178.94,157.51,194.63
"775","Insectivora","Soricidae","Crocidura","Crocidura attila",NA,NA,NA,NA,NA,NA,NA,NA,NA,320205,26.23,157.36,239.95
"776","Insectivora","Soricidae","Crocidura","Crocidura baileyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,72438,111.12,98.83,164.98
"777","Insectivora","Soricidae","Crocidura","Crocidura batesi",15.8,NA,NA,NA,NA,NA,NA,NA,NA,37340,4.25,147.78,239.08
"778","Insectivora","Soricidae","Crocidura","Crocidura beatus",10.6,NA,NA,NA,NA,NA,NA,NA,NA,106437,178.94,173.61,240.08
"779","Insectivora","Soricidae","Crocidura","Crocidura beccarii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2325,122.66,222.33,220.66
"780","Insectivora","Soricidae","Crocidura","Crocidura bottegi",3.5,NA,NA,2.97,NA,NA,NA,NA,NA,1848308,60.21,135.33,248.38
"781","Insectivora","Soricidae","Crocidura","Crocidura bottegoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,10136,64.22,72.12,-15.89
"782","Insectivora","Soricidae","Crocidura","Crocidura buettikoferi",NA,NA,NA,2.97,NA,NA,NA,NA,NA,601240,118.85,181.29,256.7
"783","Insectivora","Soricidae","Crocidura","Crocidura caliginea",NA,NA,NA,NA,NA,NA,NA,NA,NA,9530,24,159.74,245.17
"784","Insectivora","Soricidae","Crocidura","Crocidura canariensis",7.5,NA,NA,NA,NA,NA,NA,NA,NA,2489,37.72,NA,NA
"785","Insectivora","Soricidae","Crocidura","Crocidura cinderella",NA,NA,NA,NA,NA,NA,NA,NA,NA,358909,87.46,44.08,281.59
"786","Insectivora","Soricidae","Crocidura","Crocidura congobelgica",NA,NA,NA,NA,NA,NA,NA,NA,NA,39432,46.39,126.69,211.08
"787","Insectivora","Soricidae","Crocidura","Crocidura cossyrensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,93,175,NA,NA
"788","Insectivora","Soricidae","Crocidura","Crocidura crenata",NA,NA,NA,NA,NA,NA,NA,NA,NA,192944,30.92,170.65,239.09
"789","Insectivora","Soricidae","Crocidura","Crocidura crossei",8.65,20.9,NA,2.99,NA,NA,NA,NA,NA,638623,132.01,167.21,257.84
"790","Insectivora","Soricidae","Crocidura","Crocidura cyanea",8.59,NA,NA,3.56,NA,NA,NA,NA,2,2795963,16.38,39.5,189.4
"791","Insectivora","Soricidae","Crocidura","Crocidura denti",8.51,NA,NA,NA,NA,NA,NA,NA,NA,293305,8.3,146.74,242.2
"792","Insectivora","Soricidae","Crocidura","Crocidura desperata",NA,NA,NA,NA,NA,NA,NA,NA,NA,32266,33.51,82.32,202.39
"793","Insectivora","Soricidae","Crocidura","Crocidura dhofarensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,7,211
"794","Insectivora","Soricidae","Crocidura","Crocidura dolichura",5.51,NA,NA,NA,NA,NA,NA,NA,NA,2008583,44.86,151.06,241.96
"795","Insectivora","Soricidae","Crocidura","Crocidura douceti",4.3,NA,NA,NA,NA,NA,NA,NA,NA,300718,78.31,128.17,259.78
"796","Insectivora","Soricidae","Crocidura","Crocidura dsinezumi",NA,NA,NA,4.26,NA,NA,NA,NA,NA,401722,348.51,134.61,97.59
"797","Insectivora","Soricidae","Crocidura","Crocidura eisentrauti",NA,NA,NA,1.98,NA,NA,NA,NA,NA,1023,120,303,214
"798","Insectivora","Soricidae","Crocidura","Crocidura elgonius",6.5,NA,NA,NA,NA,NA,NA,NA,NA,28985,80.06,86.44,212.64
"799","Insectivora","Soricidae","Crocidura","Crocidura elongata",NA,NA,NA,NA,NA,NA,NA,NA,NA,26520,99.52,220.93,188.54
"800","Insectivora","Soricidae","Crocidura","Crocidura erica",NA,NA,NA,NA,NA,NA,NA,NA,NA,111398,20.11,103.73,200.66
"801","Insectivora","Soricidae","Crocidura","Crocidura fischeri",NA,NA,NA,NA,NA,NA,NA,NA,NA,8016,57.07,59.72,213.45
"802","Insectivora","Soricidae","Crocidura","Crocidura flavescens",30.5,44.48,25,3.88,NA,NA,NA,NA,3,428285,59.06,51.51,153.04
"803","Insectivora","Soricidae","Crocidura","Crocidura floweri",NA,NA,NA,NA,NA,NA,NA,NA,NA,279191,187.22,1.33,211.05
"804","Insectivora","Soricidae","Crocidura","Crocidura foxi",21,NA,NA,1.98,NA,NA,NA,NA,NA,13367,90.1,112.66,247.99
"805","Insectivora","Soricidae","Crocidura","Crocidura fuliginosa",12,NA,NA,1.72,NA,NA,NA,NA,NA,2819122,173.3,154.28,215.54
"806","Insectivora","Soricidae","Crocidura","Crocidura fulvastra",10,NA,NA,NA,NA,NA,NA,NA,NA,2581430,31.3,84.24,265.93
"807","Insectivora","Soricidae","Crocidura","Crocidura fumosa",14.5,NA,NA,3.71,NA,NA,NA,NA,NA,19576,86.66,77.73,175.33
"808","Insectivora","Soricidae","Crocidura","Crocidura fuscomurina",5.6,NA,NA,2.99,NA,NA,137,NA,2,8975539,44.21,86.93,237.12
"809","Insectivora","Soricidae","Crocidura","Crocidura glassi",NA,NA,NA,NA,NA,NA,NA,NA,NA,26725,89.52,64.33,100.55
"810","Insectivora","Soricidae","Crocidura","Crocidura goliath",84,NA,NA,NA,NA,NA,NA,NA,NA,362264,7.36,143.28,242.73
"811","Insectivora","Soricidae","Crocidura","Crocidura gracilipes",6.7,NA,NA,2.97,NA,NA,NA,NA,NA,942,104.32,68.99,186
"812","Insectivora","Soricidae","Crocidura","Crocidura grandiceps",23,NA,NA,NA,NA,NA,NA,NA,NA,444066,140.04,143.68,258.56
"813","Insectivora","Soricidae","Crocidura","Crocidura grandis",NA,NA,NA,NA,NA,NA,NA,NA,NA,160,240,203,249
"814","Insectivora","Soricidae","Crocidura","Crocidura grassei",NA,NA,NA,NA,NA,NA,NA,NA,NA,225707,9.6,138.9,239.83
"815","Insectivora","Soricidae","Crocidura","Crocidura grayi",10.5,NA,NA,NA,NA,NA,NA,NA,3,117063,279.22,233.78,240.62
"816","Insectivora","Soricidae","Crocidura","Crocidura greenwoodi",NA,NA,NA,NA,NA,NA,NA,NA,NA,47948,33.07,40.57,269.21
"817","Insectivora","Soricidae","Crocidura","Crocidura gueldenstaedtii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"818","Insectivora","Soricidae","Crocidura","Crocidura harenna",NA,NA,NA,NA,NA,NA,NA,NA,NA,134,33,71,-85
"819","Insectivora","Soricidae","Crocidura","Crocidura hildegardeae",9.96,29.9,NA,NA,NA,NA,352,NA,NA,2153024,62.71,136.98,235.8
"820","Insectivora","Soricidae","Crocidura","Crocidura hirta",15.8,NA,18,3.96,NA,NA,44,NA,2,7864396,28.81,72.77,216.76
"821","Insectivora","Soricidae","Crocidura","Crocidura hispida",NA,NA,NA,NA,NA,NA,NA,NA,NA,1536,46.5,215,268
"822","Insectivora","Soricidae","Crocidura","Crocidura horsfieldii",5.36,NA,NA,3.11,NA,NA,NA,NA,NA,698342,174.99,125.15,203.06
"823","Insectivora","Soricidae","Crocidura","Crocidura jacksoni",7,NA,NA,3.46,NA,NA,NA,NA,NA,697794,87.81,91.18,216.04
"824","Insectivora","Soricidae","Crocidura","Crocidura jenkinsi",NA,NA,NA,NA,NA,NA,NA,NA,NA,4527,50.24,215,268
"825","Insectivora","Soricidae","Crocidura","Crocidura kivuana",NA,NA,NA,1.65,NA,NA,NA,NA,NA,3261,193.33,130.66,169.66
"826","Insectivora","Soricidae","Crocidura","Crocidura lamottei",NA,NA,NA,NA,NA,NA,NA,NA,NA,1171396,51.01,125.49,263.03
"827","Insectivora","Soricidae","Crocidura","Crocidura lanosa",NA,NA,NA,3.27,NA,NA,NA,NA,NA,31735,169.34,114.74,178.94
"828","Insectivora","Soricidae","Crocidura","Crocidura lasiura",NA,NA,NA,NA,NA,NA,NA,NA,NA,1022046,232.77,61.94,40.36
"829","Insectivora","Soricidae","Crocidura","Crocidura latona",NA,NA,NA,NA,NA,NA,NA,NA,NA,84665,20.05,142.94,230.48
"830","Insectivora","Soricidae","Crocidura","Crocidura lea",NA,NA,NA,NA,NA,NA,NA,NA,NA,67923,75.42,220.06,207.69
"831","Insectivora","Soricidae","Crocidura","Crocidura leucodon",10.6,29.83,30.99,3.37,NA,36,NA,94.26,2,4156437,112.56,51.26,80.31
"832","Insectivora","Soricidae","Crocidura","Crocidura levicula",NA,NA,NA,NA,NA,NA,NA,NA,NA,18811,29.05,238.8,214.8
"833","Insectivora","Soricidae","Crocidura","Crocidura littoralis",18.2,NA,NA,2.97,NA,NA,NA,NA,NA,411449,84.57,112.85,219.26
"834","Insectivora","Soricidae","Crocidura","Crocidura longipes",19.3,NA,NA,NA,NA,NA,NA,NA,NA,1302,60.24,74.75,276.49
"835","Insectivora","Soricidae","Crocidura","Crocidura lucina",NA,NA,NA,NA,NA,NA,NA,NA,NA,10062,82.69,69.92,56.52
"836","Insectivora","Soricidae","Crocidura","Crocidura ludia",4.93,NA,NA,NA,NA,NA,NA,NA,NA,291396,14.47,143.79,239.93
"837","Insectivora","Soricidae","Crocidura","Crocidura luna",13.5,26.88,NA,1.98,NA,NA,NA,NA,3,1790649,51.34,88.91,214.62
"838","Insectivora","Soricidae","Crocidura","Crocidura lusitania",2.43,NA,NA,NA,NA,NA,NA,NA,NA,5756295,21.11,40.62,263.38
"839","Insectivora","Soricidae","Crocidura","Crocidura macarthuri",NA,NA,NA,NA,NA,NA,NA,NA,NA,437724,14.81,37.71,273.21
"840","Insectivora","Soricidae","Crocidura","Crocidura macmillani",NA,NA,NA,NA,NA,NA,NA,NA,NA,39,136.5,64.5,184.5
"841","Insectivora","Soricidae","Crocidura","Crocidura macowi",NA,NA,NA,NA,NA,NA,NA,NA,NA,37,4,54,246
"842","Insectivora","Soricidae","Crocidura","Crocidura malayana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"843","Insectivora","Soricidae","Crocidura","Crocidura manengubae",NA,NA,NA,NA,NA,NA,NA,NA,NA,128796,30.31,143.9,234.25
"844","Insectivora","Soricidae","Crocidura","Crocidura maquassiensis",6,NA,NA,NA,NA,NA,NA,NA,3,494581,39.59,51.25,177.74
"845","Insectivora","Soricidae","Crocidura","Crocidura mariquensis",10.4,NA,NA,3.9,NA,NA,NA,NA,3,3352833,19.89,70.4,205.71
"846","Insectivora","Soricidae","Crocidura","Crocidura maurisca",14,NA,NA,NA,NA,NA,NA,NA,NA,19556,320.86,99.73,216.39
"847","Insectivora","Soricidae","Crocidura","Crocidura maxi",NA,NA,NA,NA,NA,NA,NA,NA,NA,152373,596.04,201.34,244.68
"848","Insectivora","Soricidae","Crocidura","Crocidura mindorus",NA,NA,NA,NA,NA,NA,NA,NA,NA,837,138.69,194.5,235
"849","Insectivora","Soricidae","Crocidura","Crocidura minuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,126776,822.89,195.11,245.51
"850","Insectivora","Soricidae","Crocidura","Crocidura miya",NA,NA,NA,NA,NA,NA,NA,NA,NA,7583,353.9,174.28,246.85
"851","Insectivora","Soricidae","Crocidura","Crocidura monax",16,NA,NA,NA,NA,NA,NA,NA,NA,196976,104.22,72.83,196.71
"852","Insectivora","Soricidae","Crocidura","Crocidura monticola",NA,NA,NA,NA,NA,NA,NA,NA,NA,120194,512.15,198.25,247.47
"853","Insectivora","Soricidae","Crocidura","Crocidura montis",14.5,NA,NA,NA,NA,NA,NA,NA,NA,86116,121.26,78.61,193.62
"854","Insectivora","Soricidae","Crocidura","Crocidura muricauda",NA,NA,NA,NA,NA,NA,NA,NA,NA,519293,73.17,178.55,255.89
"855","Insectivora","Soricidae","Crocidura","Crocidura mutesae",22.9,NA,NA,NA,NA,NA,NA,NA,NA,46053,148.61,100.92,229.18
"856","Insectivora","Soricidae","Crocidura","Crocidura nana",NA,NA,NA,NA,NA,NA,NA,NA,NA,241737,23.63,46.27,203.85
"857","Insectivora","Soricidae","Crocidura","Crocidura nanilla",6.5,NA,NA,NA,NA,NA,NA,NA,NA,4262856,38.96,87.54,264.61
