"","Order","Family","Genus","Species","AdultBodyMass_g","BMR_mLO2hr","GestationLen_d","LitterSize","LittersPerYear","MaxLongevity_m","PopulationDensity_nkm2","SexualMaturityAge_d","TrophicLevel","GR_Area_km2","HumanPopDen_nkm2","PrecipMean_mm","TempMean_degC"
"214","Rodentia","Muridae","Apodemus","Apodemus ponticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,1101405,80.24,40.07,122.21
"215","Rodentia","Muridae","Apodemus","Apodemus rusiges",NA,NA,NA,NA,NA,NA,NA,NA,NA,76241,52.26,40.76,2.65
"216","Rodentia","Muridae","Apodemus","Apodemus semotus",25.8,NA,NA,3.56,NA,NA,NA,NA,NA,36066,676.6,160.5,165.8
"217","Rodentia","Muridae","Apodemus","Apodemus speciosus",43.7,NA,NA,4.47,NA,NA,NA,NA,NA,361275,311.83,132.24,90.59
"218","Rodentia","Muridae","Apodemus","Apodemus sylvaticus",21.9,56.98,23.68,5.1,3.75,52.8,780,50.18,2,5043251,133.89,57.22,90.82
"219","Rodentia","Muridae","Apodemus","Apodemus uralensis",18.3,NA,NA,5.73,NA,NA,NA,NA,NA,7273480,52.81,37.81,48.61
"220","Rodentia","Muridae","Apodemus","Apodemus wardi",NA,NA,NA,NA,NA,NA,NA,NA,NA,640317,41.38,29.1,7.04
"221","Rodentia","Muridae","Apomys","Apomys abrae",34.9,NA,NA,NA,NA,NA,NA,NA,NA,39988,217.59,224.37,231.44
"222","Rodentia","Muridae","Apomys","Apomys datae",34.9,NA,NA,NA,NA,NA,NA,NA,NA,11325,99.65,259.41,210.39
"223","Rodentia","Muridae","Apomys","Apomys hylocoetes",34.9,NA,NA,NA,NA,NA,NA,NA,NA,17395,150.22,184.2,229.69
"224","Rodentia","Muridae","Apomys","Apomys insignis",34.9,NA,NA,NA,NA,NA,NA,NA,NA,95605,159.88,170.68,236.39
"225","Rodentia","Muridae","Apomys","Apomys littoralis",31,NA,NA,NA,NA,NA,NA,NA,NA,106985,177.77,173.61,240.08
"226","Rodentia","Muridae","Apomys","Apomys microdon",35,NA,NA,NA,NA,NA,NA,NA,2,26990,511.84,254.07,256.19
"227","Rodentia","Muridae","Apomys","Apomys musculus",21.2,NA,NA,NA,NA,NA,1110,NA,2,115585,283.29,233.49,240.53
"228","Rodentia","Muridae","Apomys","Apomys sacobianus",34.9,NA,NA,NA,NA,NA,NA,NA,NA,341,373,269.5,244
"229","Chiroptera","Pteropodidae","Aproteles","Aproteles bulmerae",619,NA,NA,1,1,NA,NA,NA,1,66663,14.78,354.23,171.17
"230","Rodentia","Muridae","Arborimus","Arborimus albipes",23,NA,NA,2.73,NA,NA,NA,NA,1,77784,30.76,95.54,82.83
"231","Rodentia","Muridae","Arborimus","Arborimus longicaudus",21.8,58.86,32.25,2.91,NA,NA,NA,NA,1,54116,33.08,95.78,83.09
"232","Rodentia","Muridae","Arborimus","Arborimus pomo",32.5,NA,32.41,2,NA,NA,NA,NA,1,22032,33.24,69.74,85.68
"233","Rodentia","Muridae","Archboldomys","Archboldomys luzonensis",35.4,NA,NA,NA,NA,NA,570,NA,3,328,323,331,252
"234","Carnivora","Viverridae","Arctictis","Arctictis binturong",13000,1877.64,92.24,2.57,NA,272.4,NA,875.43,1,2913840,124.82,194.92,229.94
"235","Primates","Loridae","Arctocebus","Arctocebus aureus",235,NA,NA,NA,NA,NA,NA,NA,NA,878240,13.57,150.36,244.58
"236","Primates","Loridae","Arctocebus","Arctocebus calabarensis",258,87.55,133.74,1,NA,156,6.29,260.45,2,185094,145.31,184.44,247.75
"237","Carnivora","Otariidae","Arctocephalus","Arctocephalus australis",68300,NA,247.01,1,NA,252,NA,1573.33,2,NA,NA,NA,NA
"238","Carnivora","Otariidae","Arctocephalus","Arctocephalus forsteri",101000,NA,243.09,1,NA,180,NA,2377.97,2,NA,NA,NA,NA
"239","Carnivora","Mustelidae","Arctonyx","Arctonyx collaris",8170,NA,42.94,2.99,NA,167,NA,NA,2,4519064,250.46,124.48,169.67
"240","Chiroptera","Phyllostomidae","Ardops","Ardops nichollsi",19.1,NA,NA,1,2,NA,NA,NA,1,4493,215.47,NA,NA
"241","Chiroptera","Phyllostomidae","Ariteus","Ariteus flavescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,8822,333.48,104.75,240
"242","Chiroptera","Phyllostomidae","Artibeus","Artibeus amplus",60.5,NA,NA,NA,NA,NA,NA,NA,1,704692,6.72,160.88,241.38
"243","Chiroptera","Phyllostomidae","Artibeus","Artibeus anderseni",NA,NA,NA,0.98,NA,NA,NA,NA,1,3362837,4.26,178.8,240.02
"244","Chiroptera","Phyllostomidae","Artibeus","Artibeus aztecus",20.8,NA,NA,0.99,2,NA,NA,NA,1,572772,88.99,99.95,204.17
"245","Chiroptera","Phyllostomidae","Artibeus","Artibeus cinereus",12.7,NA,NA,0.98,NA,NA,NA,NA,1,1835095,19.68,150.84,250.38
"246","Chiroptera","Phyllostomidae","Artibeus","Artibeus concolor",19.6,32.89,NA,NA,NA,NA,NA,NA,1,6473389,12.37,168.66,251.8
"247","Chiroptera","Phyllostomidae","Artibeus","Artibeus fimbriatus",63.9,77.95,NA,NA,NA,NA,NA,NA,1,1195211,75.59,125.63,208.92
"248","Chiroptera","Phyllostomidae","Artibeus","Artibeus fraterculus",NA,NA,NA,0.98,NA,NA,NA,NA,1,336499,81.95,67.93,165.07
"249","Chiroptera","Phyllostomidae","Artibeus","Artibeus glaucus",11.2,NA,NA,1,NA,NA,NA,NA,1,11798195,25.2,155.24,238.1
"250","Chiroptera","Phyllostomidae","Artibeus","Artibeus hartii",16.8,NA,NA,0.98,NA,NA,NA,NA,1,3507399,45.36,140.17,219.71
"251","Chiroptera","Phyllostomidae","Artibeus","Artibeus hirsutus",40.1,NA,NA,0.98,NA,NA,NA,NA,1,299331,82.64,68.43,203.79
"252","Chiroptera","Phyllostomidae","Artibeus","Artibeus inopinatus",NA,NA,NA,NA,NA,NA,NA,NA,1,48690,139.08,134.62,230.02
"253","Chiroptera","Phyllostomidae","Artibeus","Artibeus jamaicensis",41.6,56.5,151.13,0.98,2,120,NA,288.95,2,14327575,33.02,147.19,237.53
"254","Chiroptera","Phyllostomidae","Artibeus","Artibeus lituratus",59.3,84.82,106.45,0.98,2,NA,NA,NA,1,14275190,27.78,148.64,235.91
